country,year,import_in_tonnes,use_in_tonnes
Germany,2020,1368000000.0,1288000000.0
Germany,2019,1628000000.0,1306000000.0
Germany,2018,2144000000.0,1474000000.0
Germany,2017,2276000000.0,1524000000.0
Germany,2016,2531000000.0,1571000000.0
Germany,2015,1923000000.0,2785000000.0
Germany,2014,2485000000.0,2572000000.0
Germany,2013,2500000000.0,2590000000.0
Germany,2012,2388000000.0,3118000000.0
Germany,2011,2791000000.0,3098000000.0
Germany,2010,2679000000.0,3188000000.0
Germany,2009,3042000000.0,3429000000.0
Germany,2008,3063000000.0,3567000000.0
Germany,2007,2607000000.0,3534000000.0
Germany,2006,3321000000.0,3609000000.0
Germany,2005,3060000000.0,3592000000.0
Germany,2004,2762000000.0,3487000000.0
Germany,2003,3249000000.0,3699000000.0
Germany,2002,2925000000.0,4746000000.0
Germany,2001,2328000000.0,4363000000.0
Germany,2000,2903000000.0,4101000000.0
Germany,1999,2443000000.0,2640000000.0
Germany,1998,2840000000.0,3190000000.0
Germany,1997,3748000000.0,3161000000.0
Germany,1996,4184000000.0,3966000000.0
Germany,1995,4107000000.0,4522000000.0
Germany,1994,4392000000.0,4117000000.0
Germany,1993,5382000000.0,4294000000.0
Germany,1992,3961000000.0,4609000000.0
Germany,1991,5087000000.0,4926000000.0
Greece,2021,1797124000.0,0.0
Greece,2020,1578137000.0,463131000.0
Greece,2019,2331013000.0,539325000.0
Greece,2018,1724983000.0,535136999.99999994
Greece,2017,1744630000.0,529447000.0
Greece,2016,1617000000.0,525000000.0
Greece,2015,1657000000.0,524000000.0
Greece,2014,1222000000.0,479000000.0
Greece,2013,1222000000.0,455000000.0
Greece,2012,2196000000.0,563000000.0
Greece,2011,1852000000.0,607000000.0
Greece,2010,1558000000.0,840000000.0
Greece,2009,1845000000.0,1092000000.0
Greece,2008,2304000000.0,997000000.0
Greece,2007,677000000.0,1181000000.0
Greece,2006,389000000.0,1210000000.0
Greece,2005,264000000.0,1040000000.0
Greece,2004,171000000.0,1220000000.0
Greece,2003,184000000.0,1120000000.0
Greece,2002,36000000.0,1165000000.0
Greece,2001,169000000.0,1199000000.0
Greece,2000,174000000.0,1146000000.0
Greece,1999,298000000.0,1388000000.0
Greece,1998,411000000.0,1494000000.0
