country,year,cattle_in_tonnes
Italy,2016,791284.3
Italy,2017,739830.0
Italy,2018,809220.0
Italy,2019,779820.0
Italy,2020,732280.0
Italy,2021,747890.0
Latvia,1992,119600.0
Latvia,1993,107000.0
Latvia,1994,68100.0
Latvia,1995,48000.0
Latvia,1996,26500.0
Latvia,1997,25504.0
Latvia,1998,25837.0
Latvia,1999,22520.0
Latvia,2000,22342.0
Latvia,2001,19044.0
Latvia,2002,16043.0
Latvia,2003,21193.0
Latvia,2004,21587.0
Latvia,2005,20444.0
Latvia,2006,20684.0
Latvia,2007,22755.0
Latvia,2008,21445.0
Latvia,2009,20452.0
Latvia,2010,18414.0
Latvia,2011,18015.0
Latvia,2012,17312.0
Latvia,2013,16688.0
Latvia,2014,17659.0
Latvia,2015,18769.0
Latvia,2016,19468.0
Latvia,2017,18450.0
Latvia,2018,17480.0
Latvia,2019,16370.0
Latvia,2020,16030.0
Latvia,2021,17040.0
Lithuania,1992,226113.0
Lithuania,1993,161784.0
Lithuania,1994,116140.0
Lithuania,1995,86863.0
Lithuania,1996,83008.0
Lithuania,1997,89665.0
Lithuania,1998,81419.0
Lithuania,1999,77253.0
Lithuania,2000,75411.0
Lithuania,2001,47331.0
Lithuania,2002,44732.0
Lithuania,2003,43230.0
Lithuania,2004,47600.0
Lithuania,2005,52891.0
Lithuania,2006,47323.0
Lithuania,2007,55977.0
Lithuania,2008,47539.0
Lithuania,2009,45114.0
Lithuania,2010,43717.0
Lithuania,2011,41980.0
Lithuania,2012,40902.0
Lithuania,2013,37709.0
Lithuania,2014,40240.0
Lithuania,2015,45102.0
Lithuania,2016,43319.0
Lithuania,2017,41917.0
Lithuania,2018,41670.0
Lithuania,2019,44180.0
Lithuania,2020,43410.0
Lithuania,2021,45540.0
Luxembourg,2000,8167.0
Luxembourg,2001,11246.0
Luxembourg,2002,10738.0
Luxembourg,2003,10927.0
Luxembourg,2004,10700.0
Luxembourg,2005,9934.0
Luxembourg,2006,9333.0
Luxembourg,2007,9210.49
Luxembourg,2008,9171.13
Luxembourg,2009,9096.0
Luxembourg,2010,9390.0
Luxembourg,2011,9066.0
Luxembourg,2012,8585.0
Luxembourg,2013,8060.0
Luxembourg,2014,8592.5
Luxembourg,2015,9179.7
Luxembourg,2016,9528.8
Luxembourg,2017,9643.0
Luxembourg,2018,9960.0
Luxembourg,2019,10250.0
Luxembourg,2020,10340.0
Luxembourg,2021,10590.0
Malta,1990,1697.0
Malta,1991,1650.0
Malta,1992,1640.0
Malta,1993,1640.0
Malta,1994,1650.0
Malta,1995,1736.0
Malta,1996,1750.0
Malta,1997,1686.0
Malta,1998,1584.0
Malta,1999,1588.0
Malta,2000,1608.0
Malta,2001,1536.0
Malta,2002,1636.0
Malta,2003,1408.0
Malta,2004,1290.0
Malta,2005,1390.0
Malta,2006,1398.0
Malta,2007,1386.0
Malta,2008,1479.0
Malta,2009,1543.0
Malta,2010,1422.0
Malta,2011,1128.0
Malta,2012,1111.0
Malta,2013,1134.0
Malta,2014,1129.0
Malta,2015,1032.0
Malta,2016,1151.0
Malta,2017,1117.0
Malta,2018,1070.0
Malta,2019,1030.0
Malta,2020,1140.0
Malta,2021,1050.0
Netherlands,1990,521000.0
Netherlands,1991,622802.0
Netherlands,1992,635000.0
Netherlands,1993,611000.0
