country,date,averagetemperature,temperature_change
Bulgaria,2005-04-01,10.36,0.397
Bulgaria,2005-05-01,15.937,0.908
Bulgaria,2005-06-01,18.293,-0.656
Bulgaria,2005-07-01,21.461,0.663
Bulgaria,2005-08-01,21.001,0.303
Bulgaria,2005-09-01,17.261,0.565
Bulgaria,2005-10-01,11.173,-0.091
Bulgaria,2005-11-01,5.448,-1.386
Bulgaria,2005-12-01,2.728,0.914
Bulgaria,2006-01-01,-2.194,-1.648
Bulgaria,2006-02-01,0.4079999999999999,-0.676
Bulgaria,2006-03-01,5.608,1.011
Bulgaria,2006-04-01,11.099,1.385
Bulgaria,2006-05-01,15.644,0.608
Bulgaria,2006-06-01,19.27,0.532
Bulgaria,2006-07-01,21.414,0.553
Bulgaria,2006-08-01,22.229,1.481
Bulgaria,2006-09-01,17.471999999999998,0.689
Bulgaria,2006-10-01,12.843,1.598
Bulgaria,2006-11-01,6.877000000000001,0.014
Bulgaria,2006-12-01,2.741,0.909
Bulgaria,2007-01-01,5.131,5.666
Bulgaria,2007-02-01,4.065,3.048
Bulgaria,2007-03-01,7.207000000000001,2.619
Bulgaria,2007-04-01,10.775,0.848
Bulgaria,2007-05-01,17.32,2.265
Bulgaria,2007-06-01,21.941,3.019
Bulgaria,2007-07-01,24.623,3.478
Bulgaria,2007-08-01,22.942,2.24
Bulgaria,2007-09-01,16.386,-0.448
Bulgaria,2007-10-01,12.011,0.592
Bulgaria,2007-11-01,4.853,-1.941
Bulgaria,2007-12-01,0.5140000000000002,-1.31
Bulgaria,2008-01-01,-1.0559999999999998,-0.194
Bulgaria,2008-02-01,2.8840000000000003,1.733
Bulgaria,2008-03-01,8.205,3.614
Bulgaria,2008-04-01,11.729,1.848
Bulgaria,2008-05-01,15.794,0.753
Bulgaria,2008-06-01,20.554,1.745
Bulgaria,2008-07-01,22.035,1.035
Bulgaria,2008-08-01,23.571,2.676
Bulgaria,2008-09-01,16.628999999999998,-0.216
Bulgaria,2008-10-01,12.657,1.401
Bulgaria,2008-11-01,7.5,0.89
Bulgaria,2008-12-01,3.3510000000000004,1.527
Bulgaria,2009-01-01,0.7290000000000001,1.422
Bulgaria,2009-02-01,2.067,0.855
Bulgaria,2009-03-01,5.535,0.897
Bulgaria,2009-04-01,10.837,1.079
Bulgaria,2009-05-01,16.631,1.498
Bulgaria,2009-06-01,20.298,1.318
Bulgaria,2009-07-01,22.719,1.714
Bulgaria,2009-08-01,22.118,1.293
Bulgaria,2009-09-01,17.688,0.869
Bulgaria,2009-10-01,12.47,1.119
Bulgaria,2009-11-01,8.257,1.683
Bulgaria,2009-12-01,3.3790000000000004,1.609
Bulgaria,2010-01-01,-0.626,0.177
Bulgaria,2010-02-01,2.101,1.012
Bulgaria,2010-03-01,5.707000000000001,1.178
Bulgaria,2010-04-01,11.007,1.151
Bulgaria,2010-05-01,16.316,1.17
Bulgaria,2010-06-01,19.811,0.981
Bulgaria,2010-07-01,22.193,1.331
Bulgaria,2010-08-01,24.197,3.387
Bulgaria,2010-09-01,17.758,0.974
Bulgaria,2010-10-01,9.727,-1.584
Bulgaria,2010-11-01,11.094,4.634
Bulgaria,2010-12-01,1.911,0.533
Bulgaria,2011-01-01,0.091,0.796
Bulgaria,2011-02-01,0.6849999999999999,-0.429
Bulgaria,2011-03-01,5.278,0.664
Bulgaria,2011-04-01,9.45,-0.448
Bulgaria,2011-05-01,15.139,0.048
Bulgaria,2011-06-01,19.752,0.937
Bulgaria,2011-07-01,22.731,1.65
Bulgaria,2011-08-01,22.265,1.417
Bulgaria,2011-09-01,20.215,3.344
Bulgaria,2011-10-01,10.262,-1.042
Bulgaria,2011-11-01,3.768,-2.687
Bulgaria,2011-12-01,2.938,1.285
Bulgaria,2012-01-01,-1.052,-0.262
Bulgaria,2012-02-01,-3.2349999999999994,-4.509
Bulgaria,2012-03-01,6.334,1.766
Bulgaria,2012-04-01,12.45,2.425
Bulgaria,2012-05-01,16.027,0.936
Bulgaria,2012-06-01,21.711,2.916
Bulgaria,2012-07-01,25.063,4.327
Bulgaria,2012-08-01,23.591,2.878
Bulgaria,2012-09-01,19.393,2.745
Bulgaria,2012-10-01,14.634,3.349
Bulgaria,2012-11-01,8.665,2.056
Bulgaria,2012-12-01,0.75,-1.214
Bulgaria,2013-01-01,1.298,1.801
Bulgaria,2013-02-01,3.751,2.552
Bulgaria,2013-03-01,5.925,1.411
Bulgaria,2013-04-01,12.225,2.302
Bulgaria,2013-05-01,18.16,2.827
Bulgaria,2013-06-01,20.133,1.246
Bulgaria,2013-07-01,22.259,0.928
Bulgaria,2013-08-01,23.544,2.484
Croatia,2000-01-01,-0.151,-1.153
Croatia,2000-02-01,4.7860000000000005,1.647
Croatia,2000-03-01,7.734,1.126
Croatia,2000-04-01,13.89,3.114
Croatia,2000-05-01,18.112,2.706
Croatia,2000-06-01,21.831,2.278
Croatia,2000-07-01,21.481,0.418
Croatia,2000-08-01,23.64,2.879
Croatia,2000-09-01,17.477999999999998,0.572
Croatia,2000-10-01,14.132,2.379
Croatia,2000-11-01,10.542,3.341
Croatia,2000-12-01,5.242000000000001,2.675
Croatia,2001-01-01,4.082,3.176
Croatia,2001-02-01,5.089,2.004
Croatia,2001-03-01,10.429,4.044
Croatia,2001-04-01,10.709,-0.082
Croatia,2001-05-01,18.175,2.495
Croatia,2001-06-01,19.027,-0.129
Croatia,2001-07-01,22.688,1.643
Croatia,2001-08-01,23.717,2.943
Croatia,2001-09-01,15.557999999999998,-1.503
Croatia,2001-10-01,15.0,3.265
Croatia,2001-11-01,5.430999999999999,-1.381
Croatia,2001-12-01,-0.973,-3.408
Croatia,2002-01-01,1.279,0.361
Croatia,2002-02-01,6.516,3.868
